distance,std,rssi,correlation,invalid_01,invalid_02
15,0.176838,-68,0.508116,0.241652,0.490692
15,0.096744,-67,0.835891,0.239429,0.490692
15,0.022733,-66,0.934752,0.236248,0.490692
15,0.067495,-68,0.814107,0.229561,0.490692
15,0.123642,-68,0.817327,0.229055,0.490692
15,0.090433,-69,0.792623,0.220685,0.490692
15,0.150305,-69,0.622124,0.220329,0.490692
15,0.054375,-69,0.880203,0.219169,0.490692
15,0.177840,-68,0.721891,0.217273,0.490692
15,0.118943,-69,0.808459,0.213549,0.490692
15,0.084393,-70,0.777946,0.208310,0.490692
15,0.196421,-68,0.613285,0.207498,0.490692
15,0.121651,-68,0.704684,0.201465,0.490692
15,0.283019,-69,0.318731,0.198797,0.490692
15,0.185392,-69,0.752683,0.196448,0.490692
15,0.093041,-69,0.846532,0.190409,0.490692
15,0.183104,-68,0.795105,0.187800,0.490692
15,0.092107,-68,0.850286,0.182866,0.490692
15,0.136410,-70,0.703739,0.174993,0.298246
15,0.262063,-71,0.527698,0.175834,0.298246
15,0.176712,-71,0.702153,0.173749,0.298246
15,0.085107,-71,0.779510,0.171756,0.298246
15,0.099073,-70,0.804715,0.172346,0.298246
15,0.078362,-70,0.854815,0.168078,0.298246
15,0.182016,-69,0.680854,0.170306,0.298246
15,0.048397,-68,0.932206,0.169163,0.298246
15,0.278843,-70,0.425888,0.169451,0.298246
15,0.159695,-71,0.599208,0.168600,0.298246
15,0.118394,-70,0.752238,0.166880,0.298246
15,0.117971,-70,0.730725,0.164678,0.298246
15,0.151838,-68,0.717721,0.163940,0.298246
15,0.328367,-70,0.457625,0.163940,0.298246
18,0.467085,-76,-0.151087,0.371662,0.517334
18,0.177235,-75,0.239978,0.365622,0.517334
18,0.181273,-74,0.254963,0.365622,0.517334
18,0.158576,-75,0.211336,0.361706,0.517334
18,0.377863,-80,-0.031261,0.364147,0.517334
18,0.291686,-78,0.035288,0.360343,0.517334
18,0.316450,-79,0.137426,0.359018,0.517334
18,0.193031,-79,0.180299,0.351811,0.499775
18,0.282918,-79,0.045733,0.352763,0.499775
18,0.617891,-79,-0.217767,0.358252,0.517334
18,0.574665,-78,0.049036,0.364451,0.542961
18,0.466855,-80,-0.186712,0.370037,0.542961
18,0.313669,-79,-0.022235,0.371150,0.542961
18,0.452745,-77,-0.202634,0.376821,0.542961
18,0.282501,-74,0.196391,0.376555,0.542961
18,0.350797,-75,-0.098930,0.373829,0.542961
18,0.470320,-76,-0.085537,0.377388,0.542961
18,0.465797,-75,0.054233,0.376640,0.542961
18,0.444687,-75,0.122777,0.374456,0.517334
