distance,std,rssi,correlation,invalid_01,invalid_020;
0.121262;-9;0.734757;0.000000;0.000000
"1,75;0.099689;-61;0.716443;0.000000;0.000000"
"1,75;0.122009;-61;0.655722;0.000000;0.000000"
"1,75;0.125049;-61;0.714209;0.000000;0.000000"
"1,75;0.322212;-61;0.173224;0.000000;0.000000"
"1,75;0.112336;-62;0.750085;0.000000;0.000000"
"1,75;0.149690;-64;0.695521;0.000000;0.000000"
"1,75;0.195418;-64;0.594976;0.000000;0.000000"
"1,75;0.140720;-64;0.666504;0.000000;0.000000"
2;0.048494;-58;0.928255;0.000000;0.000000
2;0.014712;-57;0.973415;0.000000;0.000000
2;0.041139;-58;0.943868;0.000000;0.000000
2;0.023596;-58;0.965076;0.000000;0.000000
2;0.178212;-58;0.771627;0.000000;0.000000
2;0.025068;-59;0.955128;0.000000;0.000000
2;0.089239;-61;0.847795;0.000000;0.000000
2;0.044765;-60;0.906480;0.000000;0.000000
2;0.023341;-59;0.944772;0.000000;0.000000
2;0.039072;-59;0.880585;0.000000;0.000000
2;0.018648;-59;0.947905;0.000000;0.000000
2;0.017265;-59;0.955372;0.000000;0.000000
2;0.025940;-59;0.932923;0.000000;0.000000
2;0.061788;-60;0.908656;0.000000;0.000000
2;0.053067;-59;0.935678;0.000000;0.000000
2;0.072525;-60;0.885037;0.000000;0.000000
2;0.045820;-59;0.937277;0.000000;0.000000
2;0.039897;-58;0.949847;0.000000;0.000000
2;0.055753;-59;0.922376;0.000000;0.000000
2;0.036687;-59;0.948663;0.000000;0.000000
2;0.043327;-59;0.940573;0.000000;0.000000
2;0.041313;-58;0.937977;0.000000;0.000000
2;0.038718;-59;0.937552;0.000000;0.000000
2;0.051832;-59;0.920696;0.000000;0.000000
2;0.067791;-60;0.880307;0.000000;0.000000
"2,25;0.225601;-60;0.576149;0.000000;0.000000"
"2,25;0.043240;-62;0.933422;0.000000;0.000000"
"2,25;0.237759;-61;0.691581;0.000000;0.000000"
"2,25;0.011224;-58;0.962311;0.000000;0.000000"
"2,25;0.012640;-60;0.965616;0.000000;0.000000"
"2,25;0.026149;-60;0.957345;0.000000;0.000000"
"2,25;0.006594;-58;0.980950;0.000000;0.000000"
"2,25;0.008084;-58;0.972831;0.000000;0.000000"
"2,25;0.006492;-57;0.984453;0.000000;0.000000"
"2,25;0.047661;-59;0.917121;0.000000;0.000000"
"2,25;0.010735;-60;0.984110;0.000000;0.000000"
"2,25;0.015945;-58;0.953039;0.000000;0.000000"
"2,25;0.045480;-58;0.906488;0.000000;0.000000"
"2,25;0.030482;-59;0.937133;0.000000;0.000000"
"2,25;0.031835;-58;0.947623;0.000000;0.000000"
